IN|BR|BRSharif|BR Sharif
IN|HR|Panipat|Panipat
IN|BR|Darbhanga|Darbhanga
IN|WB|Bally|Bally
IN|MZ|Aizawl|Aizawl
IN|MP|Dewas|Dewas
IN|MH|Ichalkaranji|Ichalkaranji
IN|HR|Karnal|Karnal
IN|PB|Bathinda|Bathinda
IN|MH|Jalna|Jalna
IN|WB|Barasat|Barasat
IN|BR|Purnia|Purnia
IN|MP|Satna|Satna
IN|UP|Mau|Mau
IN|HR|Sonipat|Sonipat
IN|UP|Farrukhabad|Farrukhabad
IN|MP|Sagar|Sagar
IN|OR|Rourkela|Rourkela
IN|CH|Durg|Durg
IN|MN|Imphal|Imphal
IN|MP|Ratlam|Ratlam
IN|UP|Hapur|Hapur
IN|AP|Anantapur|Anantapur
IN|BR|Arrah|Arrah
IN|TS|Karimnagar|Karimnagar
IN|TS|Ramagundam|Ramagundam
IN|UP|Etawah|Etawah
IN|MH|Ambernath|Ambernath
IN|WB|NorthDumdum|North Dumdum
IN|RJ|Bharatpur|Bharatpur
IN|BR|Begusarai|Begusarai
IN|DL|NEWDELHI|New Delhi
IN|GJ|Gandhidham|Gandhidham
IN|WB|Baranagar|Baranagar
IN|TN|Tiruvottiyur|Tiruvottiyur
IN|PY|PY|PY
IN|RJ|Sikar|Sikar
IN|TN|Thoothukudi|Thoothukudi
IN|MP|Rewa|Rewa
IN|UP|Mirzapur|Mirzapur
IN|KA|Raichur|Raichur
IN|RJ|Pali|Pali
IN|AP|Vijayanagaram|Vijayanagaram
IN|BR|Katihar|Katihar
IN|UK|Haridwar|Haridwar
IN|RJ|SriGanganagar|Sri Ganganagar
IN|WB|Kharagpur|Kharagpur
IN|GJ|Gandhinagar|Gandhinagar
IN|HP|Shimla|Shimla
US|NY|NewYork|New York
US|CA|LosAngeles|Los Angeles
US|IL|Chicago|Chicago
US|TX|Houston|Houston
US|PA|Philadelphia|Philadelphia
US|AZ|Phoenix|Phoenix
US|TX|SanAntonio|San Antonio
US|CA|SanDiego|San Diego
US|TX|Dallas|Dallas
US|CA|SanJose|San Jose
US|TX|Austin|Austin
US|FL|Jacksonville|Jacksonville
US|CA|SanFrancisco|San Francisco
US|IN|Indianapolis|Indianapolis
US|OH|Columbus|Columbus
US|TX|FortWorth|Fort Worth
US|NC|Charlotte|Charlotte
US|MI|Detroit|Detroit
US|TX|ElPaso|El Paso
US|WA|Seattle|Seattle
US|CO|Denver|Denver
US|DC|Washington|Washington
US|TN|Memphis|Memphis
US|MA|Boston|Boston
US|TN|Nashville|Nashville
US|MD|Baltimore|Baltimore
US|OK|OklahomaCity|Oklahoma City
US|OR|Portland|Portland
US|NV|LasVegas|Las Vegas
US|KY|Louisville|Louisville
US|WI|Milwaukee|Milwaukee
US|NM|Albuquerque|Albuquerque
US|AZ|Tucson|Tucson
US|CA|Fresno|Fresno
US|CA|Sacramento|Sacramento
US|CA|LongBeach|Long Beach
US|MO|KansasCity|Kansas City
US|AZ|Mesa|Mesa
US|GA|Atlanta|Atlanta
US|VA|VirginiaBeach|Virginia Beach
US|NE|Omaha|Omaha
US|CO|ColoradoSprings|Colorado Springs
US|NC|Raleigh|Raleigh
US|FL|Miami|Miami
US|CA|Oakland|Oakland
US|MN|Minneapolis|Minneapolis
US|OK|Tulsa|Tulsa
US|OH|Cleveland|Cleveland
US|KS|Wichita|Wichita
US|LA|NewOrleans|New Orleans
US|TX|Arlington|Arlington
US|CA|Bakersfield|Bakersfield
US|FL|Tampa|Tampa
US|CO|Aurora|Aurora
US|HI|Honolulu|Honolulu
US|CA|Anaheim|Anaheim
US|CA|SantaAna|Santa Ana
US|TX|CorpusChristi|Corpus Christi
US|CA|Riverside|Riverside
US|MO|St.Louis|St. Louis
US|KY|Lexington|Lexington
US|PA|Pittsburgh|Pittsburgh
US|CA|Stockton|Stockton
US|AK|Anchorage|Anchorage
US|OH|Cincinnati|Cincinnati
US|MN|SaintPaul|Saint Paul
US|NC|Greensboro|Greensboro
US|OH|Toledo|Toledo
US|NJ|Newark|Newark
US|TX|Plano|Plano
US|NV|Henderson|Henderson
US|NE|Lincoln|Lincoln
US|FL|Orlando|Orlando
US|NJ|JerseyCity|Jersey City
US|CA|ChulaVista|Chula Vista
US|NY|Buffalo|Buffalo
US|IN|FortWayne|Fort Wayne
US|AZ|Chandler|Chandler
US|FL|St.Petersburg|St. Petersburg
US|TX|Laredo|Laredo
US|NC|Durham|Durham
US|CA|Irvine|Irvine
US|WI|Madison|Madison
